Sentence,Sentiment
user: Apple AAP Is it Time to econsider a Stock Split?  10:1 would solve this problem FOEVE!,positive
"The deal includes all rental equipment and related merchandise , the rental contract of the depot and two employees , the company said .",neutral
something monopoly something,neutral
"Foreigners Sell $9-Billion Asian Equities So Far In March Amid Coronavirus Fears
https://t.co/ABEBLoJ0FM",negative
"Rinkuskiai 's beer sales fell by 6.5 per cent to 4.16 million litres , while Kauno Alus ' beer sales jumped by 6.9 per cent to 2.48 million litres .",neutral
The Five Biggest Enemies Of Oil & Gas,neutral
Operating profit fell to EUR 23.26 mn from EUR 32.86 mn .,negative
Nasdaq Composite retreats 0.5% at the start of trade,negative
From @BreakingViews: Why Italy and France have bad economic headaches https://t.co/quLJ6Us2gR,negative
Canopy Growth gets Health Canada license for beverage facility,positive
AFFY - volume follow thru will send this right back over 4.00 can go to 5.00 tomorrow - will catch the full run - going to be fun,positive
Finnish forest machinery manufacturer Ponsse has issued a profit warning .,negative
Denver Nuggets network sues Comcast for antitrust,negative
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",neutral
Madison Square Garden Q2 revenue $628.8 mln vs. $632.2 mln,negative
Exelon : Initial Statement of Beneficial Ownership #Exelon #Stock #MarketScreener https://t.co/3h1IS0vjXb https://t.co/Oy6iFfT8bE,neutral
"RT @WSJheard: After two accounting scandals in less than a week, the Chinese growth story is becoming a tougher sell on Wall Street, says @Ã¢â¬Â¦",negative
TIBX getting some love today...gap fill around 25,positive
The Best Dividend Stocks Smart Investors Can Buy Right Now - Seeking Alpha,neutral
$DCP - DCP Midstream (DCP) Presents At RBC Capital Markets Midstream Conference - Slideshow. Read more and sign up https://t.co/PIQchMtrNZ,neutral
Predata does amazing things!,neutral
"Personal Data Protection Bill Fails To Deliver On The Promise Of Privacy, Experts Say",neutral
"S&P 500 earnings upside in 2020 will primarily depend on U.S.-China trade deal, says JP Morgan https://t.co/CZBvuUZvJW",neutral
Told you on SPW  I still target 16 and higher,positive
PECK,neutral
Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i https://t.co/vuNpYwRDSg,negative
"Highlight: @tom_belger on London banning Uber: ""Uber's vowing already to appeal this decision to cut it out of one https://t.co/JpJQqGwBhX",neutral
$JWCAF - James E Wagner Cultivation reports Q4 results https://t.co/0RuNNJ9dur,neutral
"$WAC trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $SPY",positive
BAC run don't walk.,negative
$VC - Visteon faces lawsuit on home turf https://t.co/TX8UiKK5ZJ,negative
TSA this is why electic cars will go mainstream soon,positive
Hertz and Avis slide after Lyft announces car rental service,negative
It's a racket out there and the media is on it else they would have taken every expert who had been pumping AAP all along to task today.,negative
"Citing improved money-market conditions, the bank said it would soon ease back on operations designed to add short-Ã¢â¬Â¦ https://t.co/GACHU03nOM",positive
Funko downgraded to hold from buy at Stifel Nicolaus,negative
"No, Boeing Isnt Ruining Trump's 3% Growth Target",neutral
Trade momentum rose in September for the first time in four months https://t.co/dsCS1fltgF,neutral
Sales of clothing developed best .,positive
DDD should test 30 again.. weak price action!,negative
Sirius downgraded on valuation,negative
"Gartman: ""the internals of the past one or two weeks are not, in our opinion, indicative of a market that should https://t.co/ALpCYJee4M",neutral
Schwabs plan to buy TD Ameritrade isnt sitting well with investment advisers who park their clients money with t https://t.co/mgV7v9IZpq,negative
"Founded in 2000 , BioView automates laboratory tests , especially diagnostic tests for cancer .",neutral
"MANAVIGATOR-September 7 , 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 ) .",positive
"Economist Slok sees no U.S. recession, ""benign"" markets in 2020 https://t.co/RlzUHUaie1 https://t.co/6DPYzKO1bo",positive
"Production capacity will rise gradually from 170,000 tonnes to 215,000 tonnes .",positive
"Aker Solutions swings to surprise Q4 net loss, expects drop in 2020 revenue",negative
"So much topping action here. Shorting KEY at 8.90, Shorting CAT here at 95 with a stop at 95.6. ike these trades A OT.",negative
Yum Brands -3% after profit miss,negative
"$IVC: Invacare misses by $0.15, misses on revs https://t.co/28AK0IzMFs",negative
"U.S. equities edged higher, while European and Asian stocks slipped, as investors sought to gauge the economic hit... https://t.co/GimDRAOMRy",neutral
"Hedge Funds Have Never Been This Bullish On HTG Molecular Diagnostics, Inc. (HTGM)",positive
NVDA love to see momo this next week like previous histogram bars noted.,negative
"$COTY - Kylie Cosmetics Deal, Potential Professional Beauty Spin-Off Make Coty A Buy. Keep reading: https://t.co/ba6Yn3vGxy",neutral
Novo Nordisk : Disclosure of transaction data #NovoNordisk #Stock #MarketScreener https://t.co/oyT5Qb1elj https://t.co/knhuhL46gH,neutral
RT @ScottMAustin: This is such a shocking jobless claims chart  https://t.co/2CoZDmWcob https://t.co/05wwSY5ms7,negative
Daily Mail parent company in talks with potential partners about joint bid for Yahoo's internet assets: https://t.co/mK7MEMtADT $YHOO,positive
US$51.00 - That's What Analysts Think Grubhub Inc. Is Worth After These Results,neutral
Walmart Inc.s Jet subsidiary is ending its fresh-food delivery business just a year after introducing the service https://t.co/MpzLxKX3cW,negative
"Highlight: The White House is hosting a listening session right now about the vaping issue, @JessicaASmith8 says. https://t.co/0s4BsX634o",neutral
It estimates the operating profit to further improve from the third quarter .,positive
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative
"Southern Comfort is tasty! OOPS, I mean SCCO and JJC",positive
"All Pending Income Tax Refunds Up To Rs 5 Lakh To Be Released Immediately
https://t.co/uZCLzpBCuf",positive
Financials Up On Signs Of Credit-Market Stability -- Financials Roundup #economy #MarketScreener https://t.co/gSprQTSbKh,positive
Edited Transcript of PIRS earnings conference call or presentation 11-Nov-19 1:00pm GMT,neutral
$AFB - AllianceBernstein National Municipal Income declares $0.04581 dividend https://t.co/ZlFUm6tlsC,neutral
Japan Tobacco reports FY results,neutral
"When new types of network elements are added to the network , the conversion file is updated by adding the information required for converting the message format of the new network element type to the format understood by the management system .",neutral
Construction is expected to be completed in the summer of 2011 .,neutral
New Renault CEO de Meo will be much better paid than predecessor https://t.co/6HJ6WDU1f4 https://t.co/iKDjuHKLwr,neutral
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative
Energy Down Sharply As Depressed Oil Prices Seen Squeezing Shale Producers -- Energy Roundup #economy https://t.co/X2vlmii7rL,negative
David Rolfe Adds 2 Tech Stocks to Portfolio in 3rd Quarter,neutral
"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/6NKWEcrBA5 $AAPL $AXP $BAC $BLUE $FXE",negative
ISG Decent amount of Vol. behind this bounce. One day does not make a trend. Holding Short,negative
Traders fretting over every move in AAP now remind me of those in 2001 fretting over YHOO EBAY MSFT DE. Just doesn't matter anymore.,negative
$PRI - Primerica Q4 2019 Earnings Preview https://t.co/DOLPm6gGki,neutral
Disney Q1 Revenue Up 36%,positive
IMM from watch list gapped a bit over line to 20-day MA with good volume of 15% ave full day,positive
Stocks That Hit 52-Week Highs On Monday,positive
Illinois risk seeing its credit rating cut to junk https://t.co/ZXGEAkBeeM,negative
Sberbank of Russia : announces personnel changes to Capital management #SberbankRossii #Stock #MarketScreener https://t.co/2r1dilueeh,neutral
BAC Vol. Fall on EOD.. Possibly  Small Sell-Off !,negative
"Euronext, SIX battle for Spain's bourse",neutral
Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i https://t.co/vuNpYwRDSg,negative
New lawsuit seeks to pin blame for 737 MAX on Boeing's board,negative
$SAVE long. https://t.co/yEJuS9cMlC,positive
"India To Grow At 1.9% This Year, Global Growth To Shrink By 3%, Forecasts IMF
https://t.co/urepSnT2VY",negative
"Neste Oil extended yesterday 's gains and put on 0.49 pct to 22.72 eur , while utility Fortum shed 1.14 pct to 20.76 eur .",neutral
APO Strong push off support (w/volume),positive
"Special #Holiday Offer: Save 33% on streaming #market commentary, #investing #trading #ideas https://t.co/VHxQHmtMnn",neutral
Watching GS closely on today's trend-line. Has been leading SPY up AND down.,negative
The Medicines Company up 26% premarket on rumored Novartis interest,positive
ANTH ZCS p 4 times average volume today. ots of people have taken interest here.,positive
"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",negative
"TSA some nice PVE here, but got rejected at 35.50 area again, keeping on watch for a push through",positive
"user Mr. Florida, hope all is well.  You've trade SAVE in the past, so Im asking you.  Do you like it here?  ooking to fill gap?",positive
Hedge Funds Piling Into AudioCodes Ltd. (AUDC),positive
"Net sales in 2010 were about EUR 2.0 billion , of which international operations accounted for roughly a quarter .",neutral
The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .,positive
Angola agrees to hand over management of a national park in the Namib desert to a not-for-profit organization that... https://t.co/pAWD7RKKUW,neutral
RBI has reduced the Cash Reserve Ratio by 100 basis points.,negative
GMC another one that's holding up well in this selloff,positive
"Panostaja , headquartered in Tampere , Finland , is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries .",neutral
Exploration deepens into central bank digital currencies,neutral
GV Over 2.80,positive
RT @JChengWSJ: @Kubota_Yoko Some U.S. companies are still plowing fresh investment dollars into China. Walmart said Wednesday it would inveÃ¢â¬Â¦,positive
Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,negative
"Short GOOG 830, hedge of ong pos",negative
"Finnish Bank of +Ã land reports operating profit of EUR 2.2 mn in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 .",negative
The support for Impeachment is not there. I think the Democrats will have to come up with a new game plan. @jasoninthehouse @FoxNews,neutral
$ETN - Eaton offloads auto fluid conveyance business https://t.co/6IakZmzNb1,neutral
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 .",neutral
Protests Against Indias Citizenship Law Turn Violent in Delhi,negative
Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,neutral
Peter Conti-Brown On The CARES Act And The Expanding Fed-Treasury Relationship In Response To COVID-19. https://t.co/5rEILyYuNC,neutral
"Finnish construction company YIT Corporation is planning to build about 200 high-quality holiday homes near the Tahko ski and spa resort , in Finland .",positive
L3Harris started at buy with $280 stock price target at Benchmark,positive
user EMN Eastman Stoploss in 73.46 after beating 73.85. Eastman Stoploss en 73.46 tras batir 73.85,positive
"Nike to record $425 mln charge as it transitions brand business in Brazil, Argentina, Chile, Uruguay to distributor partnerships",negative
The turbines are expected to be launched by the end of 2012 .,neutral
We sit down with legendary five-time Grammy award-winning artist @_DionneWarwick moments before her performance at https://t.co/OSGqSFBpaX,neutral
Identified this topping pattern wks ago(  )  Here is the AAP / GOOG  update,negative
"CTGX rallied smartly from first support, strong breakout today, surprised so few follow this one",positive
Hedge Funds Have Never Been Less Bullish On Southwestern Energy Company (SWN),negative
Ford Mustang Mach-E: The first all-electric Ford is here,neutral
U.S. stock futures waver between gains and losses after a roller-coaster session on Wall StreetÃ¢â¬Â¦ https://t.co/IkypxyNG6B,negative
$LOGN - Logansport Financial reports FY results https://t.co/QRr1rIOzp4,neutral
For the past 8 years GOOG booked an avg return of -6.5% during Jan to Mar option expiration. It has posted positive returns for 2/8 years,negative
user u didn't miss it if it is still going lower :) MCP,negative
"Government To Borrow More Aggressively In April-September Than Expected
https://t.co/cBv5yI8Djb",negative
Illicit Cannabis Supply Output Still Dominates In The US,neutral
"The decision of the French Court relates to the claims raised by twenty-one former Aspocomp S.A.S employees , the company said .",neutral
"The works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems .",neutral
MSFT gap close. Continues base. SI rising. Nice : pickup w/ stop below major support & 28.22 PT.,positive
GOOG is hitting its head on the up trend line it broke I like 755 puts GOOG130201P755 at 2.60,negative
BJ's Wholesale narrows 2019 EPS outlook to $1.42-$1.50 from $1.44-$1.48,negative
Can We See Significant Institutional Ownership On The Tassal Group Limited (ASX:TGR) Share Register?,neutral
"Time for more OPEC cuts
Crude +822K, Exp. -3MM
Gasoline +5.405MM
Distillate +4.118MM
Cushing -3.393MM
Production -100Kbpd",positive
Edited Transcript of NGVC earnings conference call or presentation 14-Nov-19 9:30pm GMT,neutral
Cash flow from business operations totalled EUR 0.4 mn compared to a negative EUR 15.5 mn in the first half of 2008 .,positive
PSA board signs off on Fiat Chrysler merger: source,neutral
"The redesigned crushing circuit has been in operation since the start of September and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day .",neutral
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,negative
The richest get half the pie... https://t.co/GS6d2grijs OPINION,neutral
$AVLR - Avalara: Buy This Leader In The Tax Automation Trend. https://t.co/lqeMIiPUxZ #economy #stockmarket #markets,positive
AAP trying to bounce here,positive
Why is gold lower on the day? https://t.co/5F3GjdTMZU,negative
FMCSA Increases Random Drug Testing Rate To 50%,neutral
The Green Organic Dutchman Declares $41.7 Million Senior Secured Credit Facility,neutral
"$ITT - ITT Inc. Executing Well, But End-Market Weakness Could Create Opportunities For Investors. Get more info on https://t.co/K2Yz9l8Jel",neutral
$NFLX +1% $104.80 LONG streaming services rapidly outpacing traditional cable,positive
SCM Scaling my short,negative
"DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF",negative
NSPH looks like a possible move to 2.35 ... no pos here,positive
"The period 's sales dropped to EUR30 .6 m from EUR38 .3 m , according to the interim report , released today .",negative
MWIV looking to go higher.,positive
FS en fuego!!,positive
CSPI buying in new nano cap folio.,positive
"BlackRock, the worldÃ¢â¬â¢s largest money manager, is among the foreign companies that have submitted applications to enÃ¢â¬Â¦ https://t.co/ZHasH2elqA",negative
"Watch SPPI if it can hold above 7.86. It could go, but needs to stay above it.",positive
"ANA with the conference tomorrow, I guess we will hit 10.05 after all...",positive
Mixed bag for volatility as you would expect. https://t.co/AeVeAsGQ2W,neutral
Mitek Systems stock price target cut to $11 from $14 at Benchmark,negative
"James Dinsmore attributes Bancroft FundÃ¢â¬â¢s unusually strong 2019 to falling rates, judicious use of leverage and a mÃ¢â¬Â¦ https://t.co/BBrBuvoWD9",negative
Adobe stock price target raised to $315 vs. $290 at Wedbush,positive
The Week Ahead: Original 'Star Wars' saga wraps this week,neutral
The moment the windows get smashed on Tesla's new cybertruck https://t.co/5kQPPbnE80 https://t.co/KwO0J3m29O,neutral
short OC starting to work towards 38,negative
"In Lithuania , operating profit rose to EUR 190,000 from EUR 70,000 in the corresponding period in 2005 .",positive
"Finnish forest machinery and equipment maker Ponsse Oyj said on October 5 , 2007 it will deliver a total of 67 cut-to-length method forest machines and 44 harvester heads to Brazilian paper maker Bahia Pulp and to unnamed Uruguayan wood harvesting contractors .",positive
The Finnish textiles and clothing company Marimekko Corporation ( OMX Helsinki : MMO1V ) reported on Wednesday ( 5 November ) an operating profit of EUR8 .1 m on net sales of EUR59m for the period from January to September 2008 .,neutral
DNB Call volume spike ahead of earnings,positive
Are Investors Undervaluing West Fraser Timber Co. Ltd. (TSE:WFT) By 49%?,neutral
Gold dips as trade deal optimism benefits riskier assets https://t.co/RWN6oROmRi https://t.co/YDYtPtJpJ9,negative
$EFF - Eaton Vance Floating-Rate Income Plus Fund declares $0.0850 dividend https://t.co/62gm6crBAR,neutral
Breakingviews - Fed's ultra-loose efforts will cast long shadow https://t.co/nktomiS4jW https://t.co/A5r5dgKIhX,negative
"BBY It was interesting to hear on CNBC that there are big companies interested in this company, including Microsoft, Amazon,.. AMZN MSFT",positive
"Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday it returned to a net profit of EUR 2.7 million USD 3.8 m for the first nine months of 2010 versus a net loss of EUR 579,000 for the same period of 2009 .",positive
"NS oad puts, HF is about to get blown up imo!",negative
AIG in 38.50 w Put  target around 37.90,negative
Pretium Resources Q4 2019 Earnings Preview,neutral
Rosen was cautious about being too optimistic inregard to the second half of the year .,neutral
Jaguar Land Rover to cut output at two UK factories,negative
AAP I bought  431.79 on March 14th. The spx was  1563 that day and it's now  1563. I'm +6.88% and you guys are bearish? come on man!,positive
"Sensex Opens Over 500 Points Higher, Nifty Starts Day Near 8,450
https://t.co/2uzIGVXmRn",positive
PM 1H. hold 2/3 til close monday PM (21 bars) and 3PM on wednesday (34 bars) for the balance.,positive
ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ,negative
AAP people be realistic. Market undecided what to do with apple. Earnings will lift that cloud. If GOOD we might EAY see a reversal.,negative
"With consumers worried about keeping their homes, a car dealer is spurring sales by making their mortgage payments. https://t.co/8OwvlffCHM",negative
"KKD Krispy Kreme Doughnuts, Inc. at IC XChange Conference (ive) 01/17/13 at 9:15 a.m. ET",positive
Watch DECK over 49.20.,positive
DPW reaches agreement with a family office to resolve debt previously in default,neutral
"- Demand for fireplace products was lower than expected , especially in Germany .",neutral
$LQD - A History Of IG Credit Spreads Suggests Opportunity. https://t.co/AdkNzNC1Y3 #investing #finance #business,positive
US dollar wipes out sales gains for SABMiller,negative
Macy's Q3 sales $5.173 bln vs. $5.404 bln; FactSet consensus $5.321 bln,negative
"Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be positive .",positive
"When Chinese Consumers Stay Home, the Worlds Retailers Take Hit",negative
AbbVie Q1 FactSet EPS consensus $2.12; 2020 consensus $9.45,neutral
"Operating result showed a loss of EUR 2.9 mn , while a year before , it showed a profit of EUR 0.6 mn .",negative
Mexican Economy Stagnated in Third Quarter #economy #MarketScreener https://t.co/tIiIpe0xGG https://t.co/GgsUtNYmc3,negative
We're A Little Worried About Graphite One's (CVE:GPH) Cash Burn Rate,neutral
Stocks retreat from records at the open after jobs report,negative
2U downgraded to sector weight from overweight at KeyBanc Capital,negative
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,negative
SNB's sight deposit holdings rise by second-highest level in 12 months https://t.co/aUsTEz08h3 https://t.co/rMaW0F4suE,neutral
GrubHub stock price target raised to $40 from $34 at Oppenheimer,positive
"Morgan StanleyÃ¢â¬â¢s results fell just shy of projections by analysts, who had revised their estimates downward as theÃ¢â¬Â¦ https://t.co/vGv8FsK57t",negative
The Nasdaq Could Be In Trouble Before 2019 Is Out. Read more and sign up for updates: https://t.co/rfYVcCfma3 https://t.co/HTcvorUn8n,neutral
HSBC Hit by Fresh Details of Tax Evasion Claims,negative
Masayoshi Son's Bankers Are Worried About Their Favorite Client,neutral
The total value of the deal is USD 29mn .,neutral
"The growth in the activeness of Talentum 's customers , which started at the end of 2009 , continued during the reporting period , the company stated .",positive
"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",neutral
RT @ACInvestorBlog $AAPL still on track for $500,positive
Silvercorp -20% as quarterly silver sales volumes remain flat,negative
Novartis Confirms Deal To Acquire Medicines Company For $9.7B,neutral
McChip Resources declares C$0.02 dividend,neutral
Here are 12 key things to know about the Federal Reserve System https://t.co/WBi3N9kxbC https://t.co/Gp6RtNkyC4,neutral
Wall St. volatility raises fears of another selloff #Samp;P500 #economy #MarketScreener https://t.co/j4Jebb8qvW https://t.co/itcItsWEb1,negative
"""In my time at the Fed, I've seen how changes in business and consumer confidence impact the economy as a whole,"" P https://t.co/rZgYHFXsKk",neutral
"The EBRD is using its own funds to provide a 21.6 mln A loan while the B portion of 10 mln Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc 7.7 mln Euros and Pohjola Bank Plc 2.3 mln Euros .",neutral
Brazils President Jair Bolsonaro described activist Greta Thunberg as a brat in his latest attack on celebrity e https://t.co/AkdVj0WHuX,neutral
The statutory negotiations at headquarters are part of this decrease .,neutral
"Bitcoin, Ethereum & Litecoin - American Wrap: 12/16/19",neutral
"OWW through 5.70, possible move to 5.90-6",positive
"Is Westwood Holdings Group, Inc. (WHG) A Good Stock To Buy?",neutral
The pound is ending a tumultuous month on a high note just hours before Britain exits the European Union https://t.co/BGFFLxPosH,positive
Generate Capital raises $1bn of LP capital for infra investment,neutral
looks like target is 44.07 HS,negative
Investors Get 2 New ESG ETFs for 2020,neutral
"NKD mild divergence creeping in, could arguably ease back to mid 160's, but long-term rock solid",positive
Amazon sues U.S. over loss of Pentagon cloud deal to Microsoft https://t.co/LkW7j36pGn,negative
A Sexist Joke Cost Ken Fisher $4 Billion in Assets. He Still Runs $121 Billion,neutral
XEC out 1/4 of short +1,negative
$BATRK - Liberty Braves Group: Valuing An Undervalued And Unique Business. Subscribe to Seeking Alpha for more: https://t.co/ztpuTetxPp,neutral
"$IQ $BIDU - IQIYI -4% after short calls, report https://t.co/DJfC40Fgwz",negative
Target Q3 revenue $18.67 bln vs. $17.82 bln a year ago; FactSet consensus $18.45 bln,positive
"WMT Wal-Mart on report of slow February sales: Often see internal communications that are not entirely accurate. -2,8 %at this time.",negative
"Stocks, Bonds, & Dollar Stumble As Traders Reach 'Peak FOMO' https://t.co/P9454JXHmT",negative
Added short TM to portfolio,negative
$AUPH holding it till $25 :) https://t.co/x6YB6syVxk,neutral
"Gold Demand Could Hit 3-Decade Low As COVID-19 Lockdown Hits Festivals, Weddings
https://t.co/0d9fAlSZWt",negative
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,positive
GME new HoD,positive
GE has been lagging. 1 of my favorite longs. Above 24 I think it runs. DIA,positive
Stock Market Update: S&P 500 returns to flat line,neutral
Top 5 Things to Know in the Market on Thursday,neutral
Dapper Labs founder discusses CryptoKitties and digital collectibles,neutral
"Swedish telco TeliaSonera is teaming up with Friends , a Swedish organization against bullying , to fight bullying of children and teenagers via electronic channels .",neutral
"FDA Approves Sarepta's Second DMD Drug, Analyst Projects $500M-Plus Opportunity",positive
Awesomeness...Monday links: swapping risks & around the financial blogosphere.  via user AAP JO GA,positive
Lattice Semiconductor Q4 Earnings Preview,neutral
$F - Ford Facing A Difficult Future. Read more and sign up for updates: https://t.co/N9Ht9AerSR #finance #stockmarket #investing,neutral
Goldman expands company research as other retrench - Bloomberg,neutral
Bumble Bee files for bankruptcy after $25 million fine for tuna price fixing https://t.co/nLaDnUUmKh,negative
`` I 'm not sure what 's happening .,neutral
$TROW Ascending triangle gives a bullish bias to this chart. Breakout above 84 will be positive http://stks.co/g0ls5,positive
DN trying to push through 10.60,positive
AAP  anybody want a tip? I hear Bluestar airlines likes next weeks calls on ddd do your research,positive
"VIX rising, eaders lagging & reversing on vol, laggards leading, speculative names climaxing. Don't ignore warnings. DDD SODA Y FB",negative
"Net sales will , however , increase from 2005 .",positive
"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV",negative
"54 Short Ideas to prepare for the next correction,  BID SV GD FXE PB WTW FCX CF MNST Starting to tighten.",negative
"Nasdaq-100 futures retreat 15 points, or 0.2%",negative
As goog explodes and aapl implodes MINTE 21 to 23 of user vid from a few years ago have Mark nailing the subject,positive
VHC  breakout watch 36.7+,positive
Sunni Waqf Board To Meet On Tuesday To Discuss  Ayodhya Review Plea Filing,neutral
"Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand .",neutral
AMEN Properties declares $20.00 dividend,neutral
27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .,positive
AAP das + 2 % gef?llt mir nicht.,positive
Vipshop announces business cooperation with SF Holding,neutral
NEW Blog Post- Watchlist 01/17.  F KBH GPX SSQ SBX CSOD HD WT OCN EBAY TEX I CHK ITG S,positive
Income Tax Department Launches E-Calculator To Compare New And Old Regime,neutral
"Westend ICT Plc s new 409,665,891 shares and increase of share capital with EUR 2,000,000 based on the resolutions of extraordinary shareholders meeting on 27 December 2010 have today registered in the Trade Register .",neutral
Marijuana stocks smoking MJNS CBIS HEMP the new trend. Next hot sector Biofuels PEIX SYNM BIOF money in focus,positive
$BMY $XLRN - No Ad Com review for Bristol-Myers' luspatercept for MDS https://t.co/YTvakZMTT3,neutral
AAP weekly SI finally back under 30 - 1st time since autumn 2008 by lower trend line- Williams 80,positive
Will smart machines kill jobs or create better ones? https://t.co/oGQFVeGoum,neutral
"Compared with the FTSE 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 % .",positive
"As Glencore's billionaire boss Ivan Glasenberg prepares to retire, his final years will be marred by corruption pro https://t.co/41EUVMZmEC",neutral
"Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at least a year .",neutral
I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endÃ¢â¬âThat's another hun from here.Long LEAPS =^.^=,positive
Elisa has commissioned Finland 's Poyry Telecom Oy to conduct a study of reception in some of Estonia 's largest cities besides Tallinn .,neutral
Government Launches Portal For Subsidy Scheme Under PMAY,neutral
"Sensex Surges 900 Points, Nifty Near 7,900 Amid Wild Swings Due To Volatility
https://t.co/QTV3IuebKt",positive
Verizon and AT&T accused of hurting rivals,negative
Harbor Capital Advisors Launches Six New Harbor Funds https://t.co/hMB4nbWKhZ https://t.co/PffVsEZfXE,neutral
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",positive
"$ELY - Callaway Golf EPS misses by $0.03, beats on revenue https://t.co/WWcCPLqZK5",neutral
Novartis Finally Comes Through With Its Acquisition of Medicines Co,neutral
A few names with a Dark Cloud Cover candle pattern: MHO Y SAFT FXS,negative
"Hanesbrands matches profit and sales expectations, sets new 40 million share buyback program",positive
A global glut of LNG might force U.S. export plants to go idle https://t.co/X6YbpYenvU,negative
Lean System supports change management and component purchasing extremely well .,positive
The iPad application joins the iPhone app as part of Monster 's range of mobile applications for job hunting .,neutral
"Gun Control Groups Hide Behind Bogus ""Police"" Think-Tank To Disarm Americans https://t.co/7V03o1wm9I",neutral
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports net sales of EUR 49.6 mn in the first quarter of 2009 , which are only a per cent smaller than in the corresponding period in 2008 .",neutral
Leaving Walmart after paying off several layaway balances. Thanks to all of my children for pitching as well. You m https://t.co/v1L7o1hfy0,neutral
"CSN Good luck to everyone holding long, cancer patients need this more than we do!",positive
Inovio on go with study of INO-3107 for rare HPV disorder; shares up 15%,positive
$UMRX added 20k shares this morning in this extreme oversold small bio cap for the coming days. Company has a confe https://t.co/zw0AxHnbrn,neutral
user you so funny AAP bulls,negative
"Consumer Inflation Eases To 6.58% In February
https://t.co/LOjPNFJ30r",positive
Should I liquidate 1/4 or 1/3 of ZNGA I am holding?,positive
"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 .",negative
CEG possible ONG today if you want to play the JPMOGAN BIOtech conference.,positive
Evolent down 6% on loss of key contract in NY,negative
GMX taking more off here 3.89,positive
Edited Transcript of NEW.N earnings conference call or presentation 18-Nov-19 1:00pm GMT,neutral
Global markets fall after new tariff threat,negative
"Futures, Global Markets Soar For Second Day As Virus Fears Fade, Dollars Slides https://t.co/ORNlxqQtf5",positive
SHOT AEE  33.99.,negative
